nombre,area,jerarquia,puntaje,cantidad_proyectos,desempenio,personas_equipo,horas_extra,asistencia_puntualidad,desempenio_futuro
Empleado 91,logistica,senior,89,3,medio,16,9,79,2
Empleado 92,administracion,senior,78,2,bajo,15,19,40,2
Empleado 93,caja,senior,53,3,medio,12,15,90,0
Empleado 94,ventas,senior,53,3,alto,28,5,81,0
Empleado 95,reposicion,senior,43,1,medio,30,1,63,0
Empleado 96,atencion al cliente,senior,65,2,alto,27,11,94,1
Empleado 97,caja,trainee,99,2,medio,16,18,40,0
Empleado 98,administracion,junior,53,3,alto,6,7,85,1
Empleado 99,atencion al cliente,junior,46,3,alto,12,11,48,0
Empleado 100,ventas,junior,68,4,bajo,11,19,85,1
Empleado 101,deposito,junior,60,1,alto,15,3,69,0
Empleado 102,logistica,junior,57,4,medio,7,3,89,0
Empleado 103,reposicion,senior,33,1,alto,27,10,90,0
Empleado 104,deposito,trainee,81,1,alto,18,18,87,0
Empleado 105,ventas,junior,96,2,medio,15,5,56,0
Empleado 106,administracion,junior,85,1,alto,21,9,97,1
Empleado 107,caja,trainee,95,1,bajo,20,6,44,0
Empleado 108,administracion,senior,83,3,bajo,13,8,70,0
Empleado 109,deposito,junior,93,5,medio,16,1,90,0
Empleado 110,atencion al cliente,junior,30,4,medio,17,7,92,1
Empleado 111,ventas,junior,99,1,bajo,28,20,97,2
Empleado 112,deposito,junior,35,1,alto,14,10,72,0
Empleado 113,ventas,senior,56,5,bajo,26,15,93,0
Empleado 114,administracion,trainee,68,2,medio,30,8,59,0
Empleado 115,caja,junior,42,2,bajo,9,16,63,0
Empleado 116,administracion,trainee,67,2,alto,20,0,60,0
Empleado 117,administracion,trainee,42,2,medio,27,1,96,0
Empleado 118,atencion al cliente,junior,34,2,medio,15,1,70,0
Empleado 119,atencion al cliente,trainee,78,2,medio,4,1,48,0
Empleado 120,caja,junior,76,3,medio,10,5,94,1
Empleado 121,caja,junior,49,3,medio,4,9,71,0
Empleado 122,reposicion,senior,63,5,medio,11,3,49,0
Empleado 123,ventas,trainee,40,2,medio,25,18,87,0
Empleado 124,caja,senior,61,1,medio,16,0,100,2
Empleado 125,reposicion,senior,97,3,alto,27,1,85,2
Empleado 126,logistica,trainee,90,3,alto,5,18,82,0
Empleado 127,ventas,trainee,33,4,alto,10,6,99,0
Empleado 128,deposito,junior,69,4,alto,23,18,77,0
Empleado 129,atencion al cliente,trainee,72,4,alto,8,18,100,0
Empleado 130,atencion al cliente,junior,96,2,alto,6,12,74,1
Empleado 131,caja,senior,81,3,alto,14,15,78,0
Empleado 132,administracion,senior,92,1,medio,24,14,90,2
Empleado 133,logistica,junior,70,3,alto,29,8,47,1
Empleado 134,caja,senior,59,4,bajo,25,12,51,0
Empleado 135,caja,trainee,56,4,medio,20,19,50,0
Empleado 136,administracion,junior,95,3,medio,2,19,49,0
Empleado 137,atencion al cliente,senior,42,2,medio,23,14,54,0
Empleado 138,deposito,junior,87,3,bajo,28,11,69,0
Empleado 139,reposicion,senior,32,5,medio,26,18,54,0
Empleado 140,deposito,junior,97,3,medio,5,12,93,1
Empleado 141,ventas,junior,80,1,medio,4,9,90,1
Empleado 142,logistica,trainee,64,1,alto,3,9,64,0
Empleado 143,administracion,trainee,71,1,alto,16,9,51,0
Empleado 144,administracion,trainee,51,5,bajo,19,8,85,0
Empleado 145,administracion,junior,61,3,bajo,26,13,75,1
Empleado 146,deposito,junior,43,5,medio,7,11,73,0
Empleado 147,reposicion,trainee,85,1,medio,5,20,70,0
Empleado 148,reposicion,senior,89,2,medio,4,13,80,1
Empleado 149,administracion,trainee,94,1,bajo,21,4,100,0
Empleado 150,atencion al cliente,senior,63,5,alto,2,5,41,0
Empleado 151,caja,senior,66,3,bajo,17,10,98,2
Empleado 152,deposito,senior,90,5,bajo,7,19,90,2
Empleado 153,atencion al cliente,junior,46,2,alto,27,4,74,0
Empleado 154,reposicion,junior,52,1,bajo,16,11,44,0
Empleado 155,administracion,junior,62,1,medio,21,9,69,1
Empleado 156,caja,trainee,38,2,medio,9,9,78,0
Empleado 157,logistica,junior,39,5,medio,9,10,78,0
Empleado 158,administracion,junior,87,3,alto,16,7,76,0
Empleado 159,atencion al cliente,senior,88,4,bajo,13,18,66,2
Empleado 160,deposito,junior,33,1,bajo,27,17,47,0
Empleado 161,administracion,junior,34,1,medio,18,4,75,0
Empleado 162,deposito,trainee,86,1,medio,17,2,54,0
Empleado 163,reposicion,junior,42,5,medio,10,18,81,0
Empleado 164,deposito,junior,60,1,alto,9,18,94,1
Empleado 165,reposicion,trainee,93,2,bajo,7,11,65,0
Empleado 166,logistica,senior,81,1,alto,13,13,81,1
Empleado 167,administracion,trainee,86,4,medio,7,12,60,0
Empleado 168,administracion,trainee,60,5,medio,30,1,75,0
Empleado 169,caja,trainee,36,4,bajo,7,5,62,0
Empleado 170,logistica,junior,37,4,alto,23,18,75,0
Empleado 171,caja,junior,70,2,medio,26,15,42,1
Empleado 172,atencion al cliente,senior,51,3,medio,25,14,53,0
Empleado 173,caja,junior,51,5,medio,23,18,79,0
Empleado 174,caja,trainee,65,5,alto,12,20,99,2
Empleado 175,reposicion,junior,35,4,medio,15,2,59,0
Empleado 176,reposicion,junior,39,2,medio,7,18,62,0
Empleado 177,reposicion,junior,85,3,medio,18,1,80,1
Empleado 178,administracion,trainee,69,5,bajo,21,14,78,0
Empleado 179,caja,senior,85,3,alto,10,13,59,0
Empleado 180,atencion al cliente,trainee,38,3,alto,26,3,62,0
Empleado 181,caja,trainee,35,4,bajo,25,18,85,0
Empleado 182,ventas,senior,60,3,medio,7,7,62,1
Empleado 183,ventas,junior,59,2,medio,3,18,62,0
Empleado 184,administracion,trainee,32,1,medio,28,10,76,0
Empleado 185,deposito,senior,41,1,bajo,18,3,50,0
Empleado 186,atencion al cliente,senior,61,3,medio,27,8,51,0
Empleado 187,administracion,senior,78,3,alto,14,6,62,0
Empleado 188,deposito,trainee,71,1,alto,12,9,79,0
Empleado 189,atencion al cliente,senior,48,5,alto,6,12,83,1
Empleado 190,reposicion,senior,74,4,medio,15,19,85,2
Empleado 191,deposito,junior,95,3,medio,17,1,48,0
Empleado 192,caja,junior,31,2,alto,29,10,84,1
Empleado 193,atencion al cliente,trainee,63,5,bajo,18,19,44,0
Empleado 194,administracion,trainee,81,1,medio,15,10,45,0
Empleado 195,ventas,junior,97,1,alto,3,0,49,0
Empleado 196,atencion al cliente,senior,56,5,medio,2,18,80,0
Empleado 197,ventas,senior,50,3,medio,15,20,96,2
Empleado 198,administracion,trainee,95,2,medio,10,11,70,0
Empleado 199,caja,trainee,32,3,alto,13,20,46,0
Empleado 200,ventas,junior,63,4,medio,9,15,57,1
Empleado 201,caja,junior,51,3,bajo,25,13,50,0
Empleado 202,caja,senior,32,5,medio,26,14,90,0
Empleado 203,administracion,junior,82,3,alto,6,6,53,1
Empleado 204,atencion al cliente,trainee,94,2,medio,25,10,72,0
Empleado 205,atencion al cliente,trainee,43,1,medio,15,15,64,0
Empleado 206,administracion,senior,60,4,medio,12,13,93,1
Empleado 207,reposicion,senior,53,2,bajo,16,4,71,0
Empleado 208,logistica,junior,35,3,medio,12,8,89,1
Empleado 209,administracion,trainee,66,2,alto,17,16,52,0
Empleado 210,atencion al cliente,trainee,80,4,medio,19,10,46,0
Empleado 211,ventas,junior,68,4,medio,11,12,72,1
Empleado 212,atencion al cliente,junior,90,5,alto,3,7,78,1
Empleado 213,deposito,trainee,54,1,alto,22,1,74,0
Empleado 214,atencion al cliente,trainee,82,1,medio,14,16,46,0
Empleado 215,administracion,junior,32,1,medio,7,15,68,0
Empleado 216,deposito,junior,91,5,alto,29,8,57,0
Empleado 217,logistica,senior,91,4,medio,20,3,69,0
Empleado 218,administracion,senior,50,4,alto,25,12,96,2
Empleado 219,deposito,senior,59,2,alto,24,3,55,0
Empleado 220,atencion al cliente,trainee,40,5,alto,9,16,89,0
Empleado 221,atencion al cliente,junior,64,2,bajo,29,7,83,1
Empleado 222,reposicion,trainee,82,1,medio,18,6,45,0
Empleado 223,deposito,trainee,69,4,medio,16,3,64,0
Empleado 224,deposito,junior,49,1,alto,17,18,75,0
Empleado 225,deposito,trainee,38,3,medio,13,17,57,0
Empleado 226,deposito,senior,85,5,medio,13,14,79,0
Empleado 227,reposicion,senior,99,3,medio,20,6,90,2
Empleado 228,deposito,junior,75,4,bajo,19,1,59,0
Empleado 229,atencion al cliente,senior,45,2,bajo,11,20,85,2
Empleado 230,caja,senior,39,4,medio,21,17,83,2
Empleado 231,logistica,senior,53,2,alto,30,8,60,0
Empleado 232,logistica,trainee,38,2,bajo,16,20,72,0
Empleado 233,reposicion,trainee,76,5,bajo,6,1,44,0
Empleado 234,ventas,junior,42,2,medio,5,16,67,0
Empleado 235,caja,junior,78,3,bajo,10,1,91,1
Empleado 236,logistica,junior,47,3,medio,8,19,53,0
Empleado 237,ventas,junior,31,2,medio,9,20,88,0
Empleado 238,logistica,trainee,57,3,medio,26,1,90,0
Empleado 239,deposito,junior,86,2,medio,16,5,45,0
Empleado 240,atencion al cliente,trainee,82,5,medio,23,11,67,0
Empleado 241,deposito,senior,88,4,bajo,7,8,55,0
Empleado 242,reposicion,junior,33,1,medio,3,18,56,0
Empleado 243,caja,senior,53,3,alto,23,15,44,0
Empleado 244,caja,junior,50,3,medio,4,4,91,0
Empleado 245,reposicion,senior,60,1,medio,10,13,95,1
Empleado 246,administracion,junior,46,4,bajo,15,4,94,0
Empleado 247,administracion,senior,77,1,alto,18,3,94,0
Empleado 248,administracion,junior,63,3,medio,14,9,40,1
Empleado 249,ventas,trainee,47,1,medio,15,4,97,0
Empleado 250,deposito,junior,89,4,alto,8,13,74,1
Empleado 251,atencion al cliente,senior,94,4,alto,28,18,83,2
Empleado 252,deposito,junior,61,4,alto,20,5,77,1
Empleado 253,reposicion,senior,56,3,medio,22,10,58,0
Empleado 254,caja,trainee,92,5,medio,3,16,92,0
Empleado 255,caja,trainee,61,2,alto,29,19,43,0
Empleado 256,atencion al cliente,junior,65,3,alto,2,2,68,0
Empleado 257,administracion,junior,46,3,medio,9,8,55,0
Empleado 258,caja,senior,52,1,medio,29,2,87,0
Empleado 259,logistica,junior,88,2,bajo,11,16,93,2
Empleado 260,deposito,junior,75,5,alto,20,13,59,1
Empleado 261,logistica,senior,84,4,medio,19,0,67,0
Empleado 262,reposicion,senior,73,4,medio,3,19,57,0
Empleado 263,caja,junior,57,3,bajo,11,12,42,0
Empleado 264,administracion,trainee,72,5,bajo,28,0,95,0
Empleado 265,reposicion,senior,83,4,bajo,8,14,86,1
Empleado 266,atencion al cliente,trainee,95,3,alto,22,13,70,0
Empleado 267,deposito,senior,52,2,medio,25,2,57,0
Empleado 268,reposicion,senior,99,2,medio,12,0,83,2
Empleado 269,reposicion,junior,76,4,medio,28,2,55,0
Empleado 270,administracion,junior,79,1,bajo,11,9,87,1
Empleado 271,reposicion,trainee,58,5,medio,5,20,45,0
Empleado 272,reposicion,senior,80,2,medio,22,12,83,1
Empleado 273,administracion,trainee,36,3,medio,24,15,47,0
Empleado 274,ventas,trainee,62,2,medio,8,8,66,0
Empleado 275,ventas,junior,83,4,medio,8,9,99,1
Empleado 276,logistica,trainee,97,1,alto,15,10,89,0
Empleado 277,atencion al cliente,junior,78,1,alto,21,6,51,1
Empleado 278,reposicion,senior,32,5,bajo,5,16,90,0
Empleado 279,deposito,senior,51,1,alto,21,7,42,0
Empleado 280,ventas,trainee,82,1,medio,24,2,66,0
Empleado 281,logistica,senior,46,4,medio,25,11,100,2
Empleado 282,ventas,senior,97,5,bajo,5,4,86,0
Empleado 283,caja,junior,68,3,alto,12,0,83,1
Empleado 284,reposicion,senior,97,4,medio,17,12,95,2
Empleado 285,ventas,junior,92,1,medio,13,20,68,2
Empleado 286,caja,junior,54,2,medio,7,15,60,0
Empleado 287,administracion,trainee,95,3,alto,11,6,93,0
Empleado 288,administracion,trainee,68,5,medio,7,8,62,0
Empleado 289,reposicion,junior,32,2,alto,26,5,93,1
Empleado 290,ventas,trainee,48,5,bajo,19,5,76,0
Empleado 291,logistica,trainee,32,2,medio,21,18,69,0
Empleado 292,caja,senior,90,5,bajo,16,8,60,2
Empleado 293,administracion,junior,44,5,bajo,27,7,42,0
Empleado 294,caja,senior,91,1,medio,29,20,43,2
Empleado 295,caja,senior,63,4,medio,3,3,63,0
Empleado 296,caja,junior,40,1,medio,30,11,67,0
Empleado 297,caja,trainee,79,3,bajo,15,8,99,0
Empleado 298,deposito,junior,61,5,medio,15,0,68,0
Empleado 299,caja,trainee,96,3,bajo,20,18,80,2
Empleado 300,logistica,trainee,73,3,alto,20,3,66,0
Empleado 301,administracion,trainee,44,2,alto,7,1,83,0
Empleado 302,deposito,junior,51,2,medio,4,18,100,0
Empleado 303,administracion,trainee,41,4,medio,3,4,62,0
Empleado 304,deposito,junior,81,2,alto,26,9,57,1
Empleado 305,atencion al cliente,junior,80,3,alto,17,11,59,1
Empleado 306,logistica,trainee,51,1,alto,15,2,68,0
Empleado 307,logistica,junior,43,1,alto,18,9,79,0
Empleado 308,deposito,trainee,89,1,alto,12,5,42,0
Empleado 309,deposito,trainee,68,4,bajo,16,4,57,0
Empleado 310,atencion al cliente,junior,46,2,medio,8,13,79,0
Empleado 311,logistica,senior,60,4,medio,5,12,66,1
Empleado 312,deposito,senior,45,5,medio,27,17,45,0
Empleado 313,administracion,junior,38,5,bajo,10,16,82,0
Empleado 314,deposito,trainee,39,3,alto,28,18,96,0
Empleado 315,reposicion,junior,93,1,bajo,7,16,79,0
Empleado 316,atencion al cliente,trainee,61,2,alto,22,16,54,0
Empleado 317,deposito,senior,32,5,medio,11,18,41,0
Empleado 318,ventas,trainee,83,4,alto,28,5,97,0
Empleado 319,atencion al cliente,trainee,60,1,alto,17,14,63,0
Empleado 320,logistica,junior,97,4,alto,3,16,95,1
Empleado 321,atencion al cliente,senior,62,4,alto,27,2,45,0
Empleado 322,atencion al cliente,senior,93,1,medio,28,2,100,2
Empleado 323,deposito,junior,61,4,bajo,5,10,90,1
Empleado 324,reposicion,junior,73,4,bajo,19,10,88,1
Empleado 325,atencion al cliente,senior,34,3,alto,17,20,43,0
Empleado 326,atencion al cliente,senior,95,1,alto,27,12,41,2
Empleado 327,ventas,junior,61,2,medio,16,9,79,1
Empleado 328,reposicion,senior,63,2,bajo,13,17,64,2
Empleado 329,ventas,trainee,82,5,bajo,18,18,65,0
Empleado 330,atencion al cliente,trainee,79,3,alto,10,7,69,0
Empleado 331,ventas,junior,67,3,bajo,29,15,72,1
Empleado 332,ventas,junior,68,1,bajo,19,9,42,1
Empleado 333,administracion,senior,99,5,medio,22,6,68,2
Empleado 334,logistica,junior,66,4,bajo,2,4,81,0
Empleado 335,reposicion,senior,31,2,medio,16,12,79,0
Empleado 336,logistica,junior,73,5,alto,18,14,87,1
Empleado 337,ventas,trainee,87,5,bajo,18,8,73,0
Empleado 338,logistica,junior,82,3,medio,24,17,62,0
Empleado 339,ventas,senior,89,1,alto,7,3,44,0
Empleado 340,administracion,junior,50,1,alto,6,17,90,1
Empleado 341,atencion al cliente,junior,71,3,medio,8,15,40,1
Empleado 342,reposicion,junior,34,3,medio,25,9,52,0
Empleado 343,ventas,trainee,30,4,medio,13,19,84,0
Empleado 344,reposicion,senior,45,4,bajo,13,19,100,2
Empleado 345,caja,junior,97,3,medio,24,4,52,0
Empleado 346,logistica,senior,96,2,medio,10,4,88,2
Empleado 347,ventas,junior,40,3,medio,12,7,84,1
Empleado 348,atencion al cliente,senior,65,3,bajo,21,12,75,0
Empleado 349,atencion al cliente,trainee,59,2,medio,14,20,46,0
Empleado 350,reposicion,trainee,54,5,bajo,18,3,42,0
Empleado 351,logistica,trainee,49,3,medio,28,20,52,0
Empleado 352,logistica,senior,60,5,alto,8,15,44,1
Empleado 353,ventas,senior,88,3,medio,22,17,86,2
Empleado 354,ventas,junior,43,5,medio,26,20,61,0
Empleado 355,reposicion,trainee,41,4,alto,5,11,95,0
Empleado 356,caja,junior,69,4,bajo,22,15,55,1
Empleado 357,reposicion,junior,71,4,alto,5,14,83,1
Empleado 358,atencion al cliente,senior,60,3,bajo,21,5,59,0
Empleado 359,deposito,senior,56,1,medio,2,19,62,0
Empleado 360,logistica,trainee,46,4,bajo,30,13,59,0
Empleado 361,deposito,junior,39,5,medio,10,11,43,0
Empleado 362,logistica,trainee,99,2,medio,21,14,92,0
Empleado 363,reposicion,trainee,69,3,medio,16,14,89,1
Empleado 364,ventas,senior,36,1,medio,6,3,72,0
Empleado 365,reposicion,trainee,63,1,medio,10,10,87,1
Empleado 366,reposicion,junior,57,3,alto,17,6,98,0
Empleado 367,atencion al cliente,junior,66,2,alto,22,18,41,0
Empleado 368,administracion,junior,52,1,alto,10,13,62,0
Empleado 369,caja,junior,63,3,bajo,4,8,98,1
Empleado 370,caja,junior,49,4,bajo,2,0,75,0
Empleado 371,ventas,junior,34,1,bajo,6,7,62,0
Empleado 372,logistica,trainee,54,3,alto,17,18,51,0
Empleado 373,reposicion,junior,47,3,alto,26,20,88,0
Empleado 374,administracion,trainee,79,4,bajo,21,14,60,0
Empleado 375,ventas,junior,59,3,alto,30,1,42,0
Empleado 376,reposicion,trainee,86,3,bajo,10,19,58,0
Empleado 377,deposito,senior,31,1,alto,7,15,66,0
Empleado 378,atencion al cliente,junior,83,1,alto,15,16,82,1
Empleado 379,logistica,trainee,35,1,medio,18,6,71,0
Empleado 380,atencion al cliente,trainee,58,2,medio,21,20,41,0
Empleado 381,atencion al cliente,junior,76,3,medio,13,20,63,0
Empleado 382,administracion,senior,55,5,alto,16,11,91,0
Empleado 383,reposicion,senior,70,5,medio,6,3,70,0
Empleado 384,atencion al cliente,trainee,70,5,medio,12,4,75,0
Empleado 385,atencion al cliente,senior,75,2,alto,19,13,96,2
Empleado 386,administracion,junior,74,4,medio,14,9,90,1
Empleado 387,logistica,trainee,82,1,medio,18,6,51,0
Empleado 388,caja,junior,32,2,alto,12,14,88,1
Empleado 389,reposicion,trainee,76,1,medio,13,8,92,1
Empleado 390,caja,junior,95,1,bajo,18,15,93,1
Empleado 391,reposicion,junior,50,1,alto,4,5,81,1
Empleado 392,atencion al cliente,junior,51,3,medio,28,3,81,0
Empleado 393,atencion al cliente,trainee,92,5,medio,22,16,97,2
Empleado 394,reposicion,junior,51,4,medio,15,11,69,0
Empleado 395,ventas,trainee,51,3,alto,14,17,99,0
Empleado 396,deposito,senior,42,5,bajo,23,20,52,0
Empleado 397,reposicion,trainee,92,1,medio,18,7,51,0
Empleado 398,reposicion,trainee,97,3,bajo,25,20,50,0
Empleado 399,deposito,senior,66,2,bajo,8,9,60,1
Empleado 400,caja,junior,66,5,alto,18,20,45,0
Empleado 401,ventas,junior,88,1,alto,19,16,60,2
Empleado 402,caja,junior,50,2,medio,25,4,46,0
Empleado 403,administracion,senior,92,3,medio,14,10,60,2
Empleado 404,ventas,trainee,88,1,medio,27,6,92,0
Empleado 405,administracion,senior,92,4,alto,12,5,64,2
Empleado 406,reposicion,junior,68,1,medio,27,20,76,0
Empleado 407,ventas,trainee,33,3,bajo,19,2,59,0
Empleado 408,deposito,senior,91,5,medio,22,5,56,2
Empleado 409,logistica,junior,78,4,medio,13,12,92,1
Empleado 410,administracion,senior,88,5,alto,22,9,51,2
Empleado 411,atencion al cliente,senior,99,4,alto,25,2,79,0
Empleado 412,atencion al cliente,trainee,72,3,medio,14,9,81,1
Empleado 413,caja,junior,65,2,medio,27,16,58,0
Empleado 414,caja,senior,38,5,medio,28,1,87,0
Empleado 415,ventas,junior,92,3,bajo,24,9,71,0
Empleado 416,logistica,trainee,55,3,bajo,5,17,59,0
Empleado 417,reposicion,junior,96,1,alto,23,16,87,2
Empleado 418,logistica,junior,72,5,medio,3,10,95,1
Empleado 419,administracion,trainee,32,1,medio,20,3,98,0
Empleado 420,deposito,trainee,42,2,medio,29,12,61,0
Empleado 421,atencion al cliente,junior,85,2,alto,9,4,94,1
Empleado 422,logistica,junior,71,1,medio,15,9,79,1
Empleado 423,administracion,junior,88,4,alto,5,0,70,0
Empleado 424,reposicion,junior,41,4,bajo,24,1,65,0
Empleado 425,logistica,senior,70,2,bajo,6,0,70,0
Empleado 426,logistica,junior,34,2,medio,12,18,95,0
Empleado 427,deposito,junior,37,4,alto,16,20,43,0
Empleado 428,atencion al cliente,junior,94,3,medio,7,9,49,1
Empleado 429,ventas,trainee,47,4,medio,28,8,42,0
Empleado 430,administracion,junior,47,3,medio,6,17,48,0
Empleado 431,logistica,junior,41,1,bajo,26,1,53,0
Empleado 432,atencion al cliente,trainee,93,3,medio,14,9,78,0
Empleado 433,logistica,junior,52,3,bajo,24,0,95,0
Empleado 434,caja,trainee,98,5,bajo,20,5,49,0
Empleado 435,deposito,trainee,85,1,medio,29,7,97,0
Empleado 436,administracion,senior,45,1,alto,23,8,76,0
Empleado 437,deposito,junior,68,1,bajo,5,7,73,1
Empleado 438,deposito,trainee,44,1,medio,21,12,41,0
Empleado 439,logistica,trainee,65,1,bajo,13,12,89,1
Empleado 440,reposicion,senior,94,1,medio,26,4,60,0
Empleado 441,deposito,junior,48,2,medio,7,6,78,0
Empleado 442,reposicion,trainee,87,1,alto,4,13,59,0
Empleado 443,deposito,junior,85,4,medio,10,13,65,1
Empleado 444,administracion,junior,55,2,medio,15,18,49,0
Empleado 445,reposicion,trainee,51,1,bajo,16,12,93,0
Empleado 446,caja,junior,95,5,medio,5,20,68,0
Empleado 447,ventas,junior,97,5,medio,28,16,43,2
Empleado 448,caja,junior,68,1,medio,18,10,65,1
Empleado 449,atencion al cliente,junior,61,3,alto,20,20,49,0
Empleado 450,ventas,junior,40,2,medio,4,12,75,0
Empleado 451,logistica,junior,63,1,bajo,18,5,63,1
Empleado 452,logistica,junior,91,1,alto,15,12,60,0
Empleado 453,ventas,senior,74,3,medio,25,5,80,1
Empleado 454,deposito,senior,81,1,medio,24,10,48,0
Empleado 455,administracion,junior,67,2,alto,15,17,67,0
Empleado 456,reposicion,senior,42,1,bajo,22,16,84,2
Empleado 457,caja,senior,95,3,alto,16,6,54,2
Empleado 458,atencion al cliente,trainee,61,2,medio,17,14,45,0
Empleado 459,administracion,trainee,44,4,medio,14,17,92,0
Empleado 460,reposicion,junior,63,3,bajo,7,0,59,0
Empleado 461,atencion al cliente,junior,72,3,medio,10,16,66,0
