nombre,area,jerarquia,puntaje,cantidad_proyectos,desempenio,personas_equipo,horas_extra,asistencia_puntualidad,desempenio_futuro
Empleado 131,deposito,0,41,4,2,4,7,62,1
Empleado 132,deposito,1,81,1,1,13,9,97,2
Empleado 133,reposicion,1,99,4,1,11,0,58,2
Empleado 134,reposicion,0,66,3,2,9,5,40,1
Empleado 135,ventas,1,71,1,1,25,17,92,2
Empleado 136,atencion al cliente,0,99,5,0,5,17,47,1
Empleado 137,ventas,2,46,5,0,29,12,60,1
Empleado 138,administracion,1,53,3,2,29,18,48,2
Empleado 139,logistica,1,79,3,1,8,17,95,1
Empleado 140,reposicion,2,84,3,2,7,6,84,2
Empleado 141,ventas,1,70,2,2,26,5,80,1
Empleado 142,reposicion,1,60,1,1,7,20,79,2
Empleado 143,reposicion,2,64,1,2,2,16,63,0
Empleado 144,administracion,2,85,5,2,8,8,64,2
Empleado 145,caja,1,43,4,0,19,8,91,2
Empleado 146,logistica,1,44,2,1,12,4,94,2
Empleado 147,administracion,2,87,2,2,12,19,63,0
Empleado 148,logistica,2,90,4,0,20,8,74,2
Empleado 149,deposito,0,71,3,0,4,13,72,0
Empleado 150,administracion,0,72,4,1,27,18,73,2
Empleado 151,atencion al cliente,1,34,2,0,3,0,60,2
Empleado 152,atencion al cliente,1,73,4,2,7,16,88,0
Empleado 153,administracion,0,56,1,0,5,18,70,2
Empleado 154,atencion al cliente,1,71,1,1,12,15,94,2
Empleado 155,deposito,2,93,4,1,23,7,51,2
Empleado 156,deposito,0,72,1,2,5,13,51,1
Empleado 157,atencion al cliente,1,98,1,2,22,0,73,2
Empleado 158,caja,0,46,4,0,3,20,55,1
Empleado 159,reposicion,0,41,3,1,27,0,72,1
Empleado 160,ventas,1,81,2,1,10,18,47,2
Empleado 161,atencion al cliente,2,58,4,1,24,0,87,2
Empleado 162,logistica,1,40,2,2,20,4,81,2
Empleado 163,reposicion,2,72,2,2,13,2,91,2
Empleado 164,caja,1,93,3,0,21,1,52,1
Empleado 165,logistica,0,39,2,1,20,0,76,1
Empleado 166,logistica,2,30,3,1,18,16,49,2
Empleado 167,administracion,1,80,3,1,25,3,74,1
Empleado 168,reposicion,0,87,2,0,11,12,81,1
Empleado 169,administracion,2,34,1,1,24,12,40,2
Empleado 170,logistica,1,63,5,0,18,12,69,2
Empleado 171,administracion,2,43,2,1,2,17,94,2
Empleado 172,caja,2,84,2,0,13,5,82,1
Empleado 173,logistica,0,67,4,2,14,15,51,2
Empleado 174,deposito,0,96,1,1,12,5,85,2
Empleado 175,atencion al cliente,2,60,1,2,9,20,89,2
Empleado 176,logistica,1,94,5,1,18,17,74,2
Empleado 177,deposito,0,42,3,1,20,0,84,2
Empleado 178,logistica,0,30,1,2,2,13,98,0
Empleado 179,ventas,0,34,5,0,23,15,56,1
Empleado 180,caja,2,51,3,2,30,6,81,1
Empleado 181,ventas,2,58,1,1,23,20,85,0
Empleado 182,administracion,0,41,4,1,11,4,72,2
Empleado 183,deposito,2,85,1,1,25,12,97,2
Empleado 184,ventas,0,55,1,1,17,9,65,1
Empleado 185,caja,1,88,2,1,24,15,48,2
Empleado 186,deposito,0,54,2,1,21,14,94,2
Empleado 187,ventas,2,67,2,1,9,12,88,2
Empleado 188,administracion,0,73,2,2,29,19,43,1
Empleado 189,reposicion,1,89,1,2,11,13,69,2
Empleado 190,deposito,2,70,4,0,21,2,60,1
Empleado 191,reposicion,2,38,5,2,24,12,98,2
Empleado 192,atencion al cliente,2,38,4,1,3,0,76,2
Empleado 193,administracion,1,76,1,0,23,10,89,1
Empleado 194,administracion,2,46,3,0,3,4,67,2
Empleado 195,reposicion,1,41,1,2,25,16,41,2
Empleado 196,reposicion,1,43,4,2,11,11,58,1
Empleado 197,caja,0,77,5,2,8,6,75,1
Empleado 198,reposicion,1,78,4,2,15,7,51,2
Empleado 199,reposicion,1,87,5,1,29,13,64,2
Empleado 200,logistica,1,70,4,1,10,11,98,2
